Variant_Classification	effect
initiator_codon_variant&non_canonical_start_codon	null
rare_amino_acid_variant	nonsilent
splice_acceptor_variant&splice_donor_variant&intron_variant	null
splice_region_variant&initiator_codon_variant	null
splice_region_variant&initiator_codon_variant&non_canonical_start_codon	null
3_prime_UTR_variant	noncoding
5_prime_UTR_premature_start_codon_gain_variant	null
5_prime_UTR_truncation&exon_loss_variant	noncoding
5_prime_UTR_variant	noncoding
disruptive_inframe_deletion	null
disruptive_inframe_deletion&splice_region_variant	null
disruptive_inframe_insertion	null
disruptive_inframe_insertion&splice_region_variant	null
downstream_gene_variant	noncoding
frameshift_variant	null
frameshift_variant&splice_acceptor_variant&splice_region_variant&intron_variant	null
frameshift_variant&splice_donor_variant&splice_region_variant&intron_variant	null
frameshift_variant&splice_region_variant	null
frameshift_variant&start_lost	null
frameshift_variant&stop_gained	null
frameshift_variant&stop_lost	null
inframe_deletion	null
inframe_deletion&splice_region_variant	null
inframe_insertion	null
inframe_insertion&splice_region_variant	null
initiator_codon_variant	null
intragenic_variant	noncoding
intron_variant	noncoding
missense_variant	nonsilent
missense_variant&splice_region_variant	nonsilent
non_coding_exon_variant	noncoding
non_coding_transcript_variant	noncoding
splice_acceptor_variant&disruptive_inframe_deletion&splice_region_variant&intron_variant	null
splice_acceptor_variant&intron_variant	null
splice_acceptor_variant&splice_region_variant&3_prime_UTR_variant&intron_variant	null
splice_acceptor_variant&splice_region_variant&intron_variant	null
splice_donor_variant&disruptive_inframe_deletion&splice_region_variant&intron_variant	null
splice_donor_variant&inframe_deletion&splice_region_variant&intron_variant	null
splice_donor_variant&intron_variant	null
splice_donor_variant&splice_region_variant&intron_variant	null
splice_donor_variant&splice_region_variant&intron_variant&non_coding_exon_variant	null
splice_donor_variant&splice_region_variant&5_prime_UTR_variant&intron_variant	null
splice_region_variant	noncoding
splice_region_variant&intron_variant	noncoding
splice_region_variant&non_coding_exon_variant	noncoding
splice_region_variant&synonymous_variant	silent
splice_region_variant&downstream_gene_variant	noncoding
splice_region_variant&stop_retained_variant	silent
start_lost	null
start_lost&inframe_deletion	null
start_lost&splice_region_variant	null
stop_gained	null
stop_gained&disruptive_inframe_deletion	null
stop_gained&disruptive_inframe_insertion	null
stop_gained&splice_region_variant	null
stop_lost	null
stop_lost&inframe_deletion	null
stop_lost&inframe_deletion&splice_region_variant	null
stop_lost&splice_region_variant	null
stop_retained_variant	silent
synonymous_variant	silent
upstream_gene_variant	noncoding
